betting_bm_id,betting_sc_id,betting_name,betting_score,year,performer,song,page_url,contest_round,country_name,country_code
11,92,SPORTINGBET,5.0,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
17,87,INTERTOPS,4.25,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
1,82,PADDYPOWER,5.5,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
14,76,BETFRED,6.5,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
19,72,BETWAY,4.5,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
16,66,STANJAMES,4.5,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
30,21,BETFAIRSPORT,6.0,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
24,12,MATCHBOOK,6.74,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
2,-200,BFX*,6.51,2015,Il Volo,Grande amore,/eurovision/2015/italy,final,Italy,Italy
4,153,UNIBET,12.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
5,145,BET365,11.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
18,139,YOUWIN,9.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
15,131,BOYLESPORTS,12.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
21,124,CORAL,9.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
13,124,SKYBET,10.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
20,124,BETVICTOR,12.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
22,108,TITANBET,10.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
23,105,BWIN,15.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
6,103,PAF,7.5,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
11,92,SPORTINGBET,11.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
17,87,INTERTOPS,7.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
1,82,PADDYPOWER,9.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
14,76,BETFRED,13.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
19,72,BETWAY,8.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
16,66,STANJAMES,5.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
30,21,BETFAIRSPORT,8.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
24,12,MATCHBOOK,18.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
2,-200,BFX*,18.0,2015,Loïc Nottet,Rhythm Inside,/eurovision/2015/belgium,final,Belgium,Belgium
4,153,UNIBET,12.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
5,145,BET365,11.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
18,139,YOUWIN,9.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
15,131,BOYLESPORTS,11.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
21,124,CORAL,10.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
13,124,SKYBET,11.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
20,124,BETVICTOR,13.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
22,108,TITANBET,10.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
23,105,BWIN,13.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
6,103,PAF,10.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
11,92,SPORTINGBET,11.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
17,87,INTERTOPS,9.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
1,82,PADDYPOWER,10.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
14,76,BETFRED,13.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
19,72,BETWAY,11.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
16,66,STANJAMES,9.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
30,21,BETFAIRSPORT,11.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
24,12,MATCHBOOK,16.0,2015,Guy Sebastian,Tonight Again,/eurovision/2015/australia,final,Australia,Australia
